loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
1600.0,0,7646.0,0.0,1643.4483835656,0,1643.45,0.0,0.0,0.0,1590.17,0,43.45,14,1600.0,0,0,11.49,1,10.0,1,11,0,0,0,0,55000.0,0.08493150684931507
12500.0,0,35015.0,0.0,13833.1701182756,0,13833.17,21.66,0.0,0.0,10826.37,0,1311.51,22,12500.0,1,0,14.99,2,10.0,1,2,0,0,0,0,55000.0,0.16712328767123288
4500.0,0,27856.0,0.0,4777.0473335593,0,4777.05,0.0,0.0,0.0,4029.71,0,277.05,4,4500.0,2,0,12.74,2,10.0,1,2,0,0,0,0,178000.0,0.08493150684931507
6500.0,0,6373.0,0.0,7134.027758576999,0,7134.03,0.0,0.0,0.0,5556.06,0,634.03,4,6500.0,1,0,14.99,2,0.0,1,2,0,0,0,0,39996.0,0.08493150684931507
35000.0,0,32042.0,0.0,36786.03110455,0,36786.03,0.0,0.0,0.0,19726.19,0,1786.03,26,35000.0,2,0,13.49,2,10.0,2,2,0,0,0,0,100000.0,0.16712328767123288
3000.0,0,23260.0,0.0,3223.1012747381,0,3223.1,0.0,0.0,0.0,1895.43,0,223.1,9,3000.0,0,0,16.99,3,5.0,1,2,0,0,0,0,90000.0,0.25205479452054796
10000.0,0,10293.0,0.0,10448.2543658178,0,10448.25,0.0,0.0,0.0,8281.51,0,448.25,21,10000.0,0,0,7.49,0,10.0,1,2,0,0,0,0,80000.0,0.08493150684931507
7175.0,0,15855.0,0.0,7756.2773782558,0,7756.28,0.0,0.0,0.0,6709.72,0,581.28,10,7175.0,2,0,19.99,3,3.0,1,2,0,0,0,0,70000.0,0.08493150684931507
19350.0,0,7844.0,0.0,19508.8995,0,19508.9,0.0,0.0,0.0,19570.01,0,158.9,9,19350.0,0,1,22.74,4,10.0,3,2,0,0,0,0,44000.0,0.8328767123287671
28200.0,0,5654.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,39,0.0,2,1,28.69,5,7.0,1,2,0,1,0,0,75000.0,0.08493150684931507
